company,domain
ALIBABA CLOUD,alibabacloud.com
ALIBABA GROUP,alibaba.com
ALICE À PARIS,aliceaparis.com
ALIEXPRESS,aliexpress.com
ALINEA,alinea.com
ALISCOM,UNVERIFIED:unknown
ALKOR,UNVERIFIED:unknown
ALL TRICKS,UNVERIFIED:unknown
ALLEE DU COMMERCE,UNVERIFIED:unknown
ALLEGRO,allegro.com
ALLIANCE AUTOMOTIVE FRANCE,UNVERIFIED:unknown
ALLIANCE AUTOMOTIVE GROUP FRANCE,UNVERIFIED:unknown
ALLIANCE AVANTAGES,UNVERIFIED:unknown
ALLIANCE DU COMMERCE,UNVERIFIED:alliance-du-commerce.fr
ALLOPNEU,UNVERIFIED:unknown
ALLOPNEUS,allopneus.com
ALLSAINTS,allsaints.com
ALLURE,allure.com
ALMÉ,UNVERIFIED:unknown
ALPHABETA,UNVERIFIED:unknown
ALPHAETBETA,UNVERIFIED:unknown
ALTAVIA PARIS,altavia-paris.com
ALTERMOVE,UNVERIFIED:unknown
ALTERMUNDI,altermundi.com
AMAC,amac.org
AMAC BV,UNVERIFIED:unknown
AMAZON,amazon.com
AMAZON BUSINESS,amazonbusiness.com
AMAZON WEB SERVICES,aws.amazon.com
AMC,amc.com
AMC TÊXTIL,UNVERIFIED:unknown
AMCO-BULGARIA LTD,UNVERIFIED:unknown
AMEDEE BARBOTTEAU & CIE,UNVERIFIED:unknown
AMERICA TODAY,americatoday.com
AMERICAN EXPRESS PAYMENT EUROPE,UNVERIFIED:unknown
AMERICAN TOURISTER,americantourister.com
AMERICAN VINTAGE,americanvintage.com
AMETLLER ORIGEN,ametllerorigen.com
AMEX,americanexpress.com
AMG MEDICAL,amgmedical.com
AMI PARIS,ami-paris.com
AMIBOIS,UNVERIFIED:unknown
AMINA MUADDI,aminamuaddi.com
AMINA MUADDI/ AM DESIGN,aminamuaddi.com
ANAIK GROUP,UNVERIFIED:unknown
ANAPODIA,UNVERIFIED:unknown
ANDEWE,UNVERIFIED:unknown
ANDRE,UNVERIFIED:unknown
ANGLING DIRECT PLC,UNVERIFIED:anglelingdirect.co.uk
ANM,UNVERIFIED:unknown
ANM IT LES MOUSQUETAIRES,UNVERIFIED:unknown
ANSEA,UNVERIFIED:unknown
"ANT CAPITAL PARTNERS CO., LTD.",UNVERIFIED:unknown
ANTONELLE,antonelle.com
ANTONIO PUIG,UNVERIFIED:unknown
ANYW3AR,UNVERIFIED:unknown
APEX,UNVERIFIED:unknown
API DISTRIBUTION SAS,UNVERIFIED:unknown
APIS,UNVERIFIED:unknown
APOLOGY,UNVERIFIED:unknown
APPLE,apple.com
APPLE EUROPE,UNVERIFIED:unknown
APULIA DISTRIBUZIONE,UNVERIFIED:unknown
ARABIAN OUD,arabianoud.com
ARBA-HOME,UNVERIFIED:unknown
ARCTIC PAPER,arcticpaper.com
ARDO FOODS NV,UNVERIFIED:ardo-foods.com
ARESSY,UNVERIFIED:unknown
ARF,UNVERIFIED:unknown
ARFACTORY,UNVERIFIED:unknown
ARGEDIS,UNVERIFIED:unknown
ARGEDIS / TOTAL ENERGIES,total-energies.com
ARGEDIS-TOTALENERGIES,UNVERIFIED:argedis-totalenergies.com
ARGURA,UNVERIFIED:unknown
ARK BOKHANDEL,UNVERIFIED:unknown
ARLETTIE ONLINE,arlettie.com
ARMAND THIERY S.A.S,UNVERIFIED:armandhiery.com
ARMAND THIERY SAS,UNVERIFIED:unknown
ARMONY,UNVERIFIED:unknown
ARMOR LUX,armorlux.com
ARMOR-LUX,armor-lux.com
AROBS,arobs.com
AROMA-ZONE,aroma-zone.com
ARPILABE,UNVERIFIED:unknown
ARSENAL FOOTBALL CLUB,arsenal.com
ARTÉKA PRODUCTIONS,UNVERIFIED:unknown
ARTSANA,artsana.com
AS GRUPPE,UNVERIFIED:unknown
AS WATSON,aswatson.com
AS WATSON GROUP AG,UNVERIFIED:unknown
AS WATSON H&B,UNVERIFIED:unknown
ASALI FOODS,UNVERIFIED:unknown
ASDA SUPERMARKETS,asda.com
ASH GROUPE,UNVERIFIED:unknown
ASSOCIATED WEAVERS EUROPE NV,aw-europe.com
ASTEN RETAIL,UNVERIFIED:unknown
ASTERA,asteraglobal.com
AT3V CONSULTING,UNVERIFIED:unknown
ATBMARKET LLC,UNVERIFIED:unknown
ATELIER 41,UNVERIFIED:unknown
ATELIER DU SOURCIL,atelierdusourcil.com
ATLASFORMEN,atlasformen.com
ATOL,atol.com
ATOMICSELLER,UNVERIFIED:unknown
ATS,UNVERIFIED:unknown
ATTICA DEPARTMENT STORES,UNVERIFIED:unknown
AUBADE,aubade.com
AUBADE PARIS,aubadeparis.com
AUBERT,aubert.com
AUCHAN,auchan.com
AUCHAN RETAIL,auchan.com
AUCHAN RETAIL FRANCE,auchan.fr
AUCHAN RETAIL INTERNATIONAL,auchan.com
AUCHAN RETAIL SERVICE,UNVERIFIED:unknown
AUCHAN.FR,auchan.fr
AUDE BRIAT CONSULTING,UNVERIFIED:unknown
AUDIOPTIC,UNVERIFIED:unknown
AUDIOPTIC TRADE SERVICE,UNVERIFIED:unknown
AUPAL,UNVERIFIED:unknown
AURES KONNECT,UNVERIFIED:unknown
AURISEO,UNVERIFIED:unknown
AUSTRALIAN RETAILERS ASSOCIATION,ara.net.au
AUTHENTIC,authentic.com
AUTOGRILL S.P.A.,autogrill.com
AUTOMOBILE CLUB DE L'OUEST,aco.fr
AUTOPAY,UNVERIFIED:unknown
AVEM,UNVERIFIED:unknown
AVEM GROUP,avemgroup.com
AVIV GROUP,UNVERIFIED:unknown
AVOLTA | AUTOGRILL,UNVERIFIED:unknown
AWIN,awin.com
AXA,axa.com
AXA FRANCE,axa.fr
AXIANS CLOUD SERVICE PROVIDER,UNVERIFIED:unknown
AXIANS COMMUNICATION & SYSTEMS LYON,UNVERIFIED:unknown
AZ EDITIONS,UNVERIFIED:unknown
AZ SHOP DZ,UNVERIFIED:unknown
AZERTY,UNVERIFIED:unknown
AZOZ GROUP CAIRO,UNVERIFIED:unknown
AZULLI,azulli.com
AZURE,azure.com
AΒ VASSILOPOULOS SINGLE MEMBER S.A.,UNVERIFIED:unknown
B DIRECT,UNVERIFIED:unknown
B&A CONSEIL,UNVERIFIED:unknown
B&C INTERNATIONAL,UNVERIFIED:unknown
B&M,bm.com
B&M FRANCE SAS,UNVERIFIED:unknown
BABOU,UNVERIFIED:unknown
BABYCHOU SERVICES,UNVERIFIED:unknown
BACACIER DIGITAL YOUSTEEL,UNVERIFIED:unknown
BACCARAT,baccarat.com
BACCHUS,UNVERIFIED:unknown
BACK MARKET,backmarket.com
BAEGUIN,UNVERIFIED:unknown
BAGAGES DU MONDE,UNVERIFIED:inconnue
BALADI FOODSTUFF TRADING LLC,UNVERIFIED:unknown
"BALDI, LDA.",UNVERIFIED:unknown
BALENCIAGA,balenciaga.com
BALZAC PARIS,balzacparis.com
BALZAC PARIS RETAIL,UNVERIFIED:unknown
BAMBAW,bambaw.com
BAMBINS DECO,UNVERIFIED:unknown
BANCO ITAÚ SA,itau.com.br
BANCO ITAU UNIBANCO SA,itau.com.br
BANDIT PARIS,UNVERIFIED:unknown
BANGLE-UP,UNVERIFIED:unknown
BANQUE DE FRANCE,banque-de-france.fr
BANQUE EDEL - COMMUNICATION,UNVERIFIED:unknown
BANQUE POPULAIRE,banquepopulaire.fr
BANQUE POPULAIRE AUVERGNE RHÔNE ALPES,bpaura.fr
BANQUE POPULAIRE AUVERGNE RHÔNE-ALPES,banquepopulaire.fr
BANQUE POPULAIRE BOURGOGNE FRANCHE COMTÉ,UNVERIFIED:unknown
BANQUE POPULAIRE DU NORD,UNVERIFIED:unknown
BARBARA BUI,barbarabui.com
BARCODIS,UNVERIFIED:unknown
BARNACLE,UNVERIFIED:unknown
BASE,base.com
BASILE,basile.com
BATCH,UNVERIFIED:unknown
BAYEN MAREE,UNVERIFIED:unknown
BAZARCHIC,bazarchic.com
BCS GROUP,UNVERIFIED:unknown
BD MULTIMEDIA GROUP,UNVERIFIED:unknown
BDA,UNVERIFIED:unknown
BDF,UNVERIFIED:unknown
BEAUMANOIR,beaumanoir.com
BEAUTIFY DZ SHOP,UNVERIFIED:unknown
BEAUTY SUCCESS,beautysuccess.com
BECQUET,becquet.com
BEEBS,UNVERIFIED:unknown
BEECOM,UNVERIFIED:unknown
BEIESDORF,beiersdorf.com
BEK,UNVERIFIED:unknown
BEL GROUPE,UNVERIFIED:unknown
BELLOTA BELLOTA,UNVERIFIED:unknown
BENDY JEWELRY,UNVERIFIED:unknown
BEOWERS,UNVERIFIED:unknown
BERDUGO,UNVERIFIED:unknown
BERGÈRE DE FRANCE,UNVERIFIED:bergerefrance.com
BERTRAND FRNACHISE,UNVERIFIED:unknown
BESSON,UNVERIFIED:unknown
BESSON CHAUSSURES,UNVERIFIED:unknown
B'EST LOISIRS,UNVERIFIED:unknown
BESTSELLER SERVICES B.V,UNVERIFIED:unknown
BEVH - GERMAN E-COMMERCE AND DISTANCE SELLING TRADE,bevh.org
BEYOND EVENT,UNVERIFIED:unknown
BEYOND EVENTS,UNVERIFIED:unknown
BEYOND MATRIX ALPHA,UNVERIFIED:unknown
BGC,UNVERIFIED:unknown
BHV,UNVERIFIED:unknown
BHV MARAIS,bhv-marais.com
BIC,bic.com
BIG LEAP PRODUCTIONS SA,UNVERIFIED:unknown
BIG MOUSTACHE,UNVERIFIED:unknown
BIGBEN CONNECTED,bigbenconnected.com
BIGBLUE,UNVERIFIED:unknown
BILLETWEB,billetweb.com
BIMEDIA,UNVERIFIED:unknown
BIOCONCEPT,UNVERIFIED:unknown
BIOCOOP,biocoop.fr
BIOCOOP SA,biocoop.fr
BIORREX,UNVERIFIED:unknown
BISA SAS,UNVERIFIED:unknown
BIZEIBKE,UNVERIFIED:unknown
BLACKBIRD,UNVERIFIED:unknown
BLADE,blade.com
BLAL BADRE,UNVERIFIED:unknown
BLANCHE PORTE,blancheporte.com
BLANCHEPORTE,blancheporte.com
BLEU ET ASSOCIÉS,UNVERIFIED:unknown
BLOOMSQUARE STUDIO,UNVERIFIED:unknown
BLU KIRIE,UNVERIFIED:unknown
BLUESTAR,UNVERIFIED:unknown
BM,UNVERIFIED:unknown
BMC,bmc.com
BMKA - ESPRIT BARBECUE,UNVERIFIED:unknown
BMKA - ESPRIT-BARBECUE,UNVERIFIED:unknown
BNP,bnpparibas.com
BNP PARIBAS,bnpparibas.com
BNP PARIBAS PERSONAL FINANCE,UNVERIFIED:bnpparibaspersonalfinance.com
BNPP,bnpparibas.com
BNPP PF,UNVERIFIED:unknown
BNPPARIBAS,bnpparibas.com
BNPPP,UNVERIFIED:unknown
BOBOCHIC,bobochic.com
BOCAGE,bocage.com
BOESNER,boesner.com
BOGART,UNVERIFIED:unknown
BOGART BEAUTY RETAIL,UNVERIFIED:unknown
BOGART GROUP,UNVERIFIED:unknown
"BOHMIANS, FRANCE",UNVERIFIED:unknown
BOKU,boku.com
BOMBERS ORIGINAL,UNVERIFIED:unknown
BON POINT,UNVERIFIED:unknown
BONFIGLIOLI TRANSMISSIONS,bonfiglioli.com
BONG,bong.com
BONGÉNIE,UNVERIFIED:bongeinie.com
BONNE MANIERE SAS,UNVERIFIED:unknown
BONNET NEVE,UNVERIFIED:unknown
BONPOINT,bonpoint.com
BONPRIX,bonprix.com
BONS BAISERS DE PANAME,UNVERIFIED:unknown
BOOPSHOP,UNVERIFIED:unknown
BOOSTRAVEL,UNVERIFIED:unknown
BOSCHAT LAVEIX,UNVERIFIED:unknown
BOTANIC,UNVERIFIED:unknown
BOTMIND,UNVERIFIED:unknown
BOUCHARA,bouchara.com
BOULANGER,boulanger.com
BOULANGERIES MARIE BLACHÈRE,UNVERIFIED:boulangeries-marie-blachère.com
BOUTS DE FICELLE,UNVERIFIED:unknown
BOUYGUES TELECOM,bouyguestelecom.fr
BP RETAIL,UNVERIFIED:unknown
BPACK,UNVERIFIED:unknown
BPCE,bpce.fr
BPOST SA,bpost.be
BRANCHEZRUGBY.FR,branchezrugby.fr
BRAND ALLEY,brandalley.com
BRAND FUTURES,UNVERIFIED:unknown
BRANDYE,UNVERIFIED:unknown
BRED BANQUE POPULAIRE,UNVERIFIED:bred-banque-populaire.com
BRICO DÉPÔT,bricodepot.com
BRICO IO,UNVERIFIED:unknown
BRICO IO S.P.A,UNVERIFIED:unknown
BRICO IO SPA,UNVERIFIED:brico-io.it
BRICOMAN,UNVERIFIED:bricoman.com
BRICOMARCHE,bricomarche.com
BRICOMMERCE,UNVERIFIED:unknown
BRICOPAC,UNVERIFIED:unknown
BRICOPAC TRADE SERVICES,UNVERIFIED:unknown
BRICOPRIVE.COM,bricoprive.com
BRICOZOR,bricozor.com
BRINK'S,brinks.com
BRIOCHE DORÉE,briochedoree.com
BRITISH HEART FOUNDATION,bhf.org.uk
BROOKLYN CANDLE STUDIO,brooklyncandlestudio.com
BRUN DE VIAN-TIRAN,brundeviantiran.com
BRUNSCHWIG & CIE S.A,UNVERIFIED:unknown
BRUNSCHWIG & CIE SA,UNVERIFIED:unknown
BSL DIMOTRANS,UNVERIFIED:unknown
BUFFALO GRILL,UNVERIFIED:buffalogrillcom
BULGARI,bulgari.com
BURBERRY,burberry.com
BUREAU VALLÉE,bureau-vallee.com
BURGER ET CIE,UNVERIFIED:unknown
BURGER KING,burgerking.com
BUROPAC NOUMEA,UNVERIFIED:unknown
BUROPAC NOUMÉA,UNVERIFIED:unknown
BUSINESS FRANCE,businessfrance.fr
BUT,but.com
BUT CONFORAMA,UNVERIFIED:unknown
BUT INTERNATIONAL,UNVERIFIED:unknown
BYREDO,byredo.com
C&A FRANCE,ca-france.com
C10,UNVERIFIED:unknown
CABESTO,UNVERIFIED:unknown
CACHE CACHE,cache-cache.com
CACTUS S.A.,UNVERIFIED:unknown
CAFAN,UNVERIFIED:unknown
CAFE COTON,cafecoton.com
CAFÉ COTON,cafecoton.com
CAISSE D'EPARGNE IDF,caisse-epargne.fr
CAISS'MAG SYSTEMES,UNVERIFIED:unknown
CAISS'MAG SYSTÈMES,UNVERIFIED:caissmag-systemes.com
CALAIS TRUCKSTOP,UNVERIFIED:unknown
CALYPSA,UNVERIFIED:unknown
CAMBON PARTNERS,UNVERIFIED:unknown
CAMIF MATELSOM,camif-matelsom.com
CAMPINGS,UNVERIFIED:unknown
CANAL+,canalplus.com
CANAL+ GROUP,canalplus.com
CANPLEX PROFILES,UNVERIFIED:unknown
CAPACITUM LTD,UNVERIFIED:unknown
CAPEL SIZE FACTORY,UNVERIFIED:unknown
CAPENCY,UNVERIFIED:unknown
CAPS,UNVERIFIED:unknown
CARAN D'ACHE,carandache.com
CARAPELLI,carapelli.com
CARCAFRANCIA,UNVERIFIED:unknown
CARDEV CARRELAGE ET BAIN,UNVERIFIED:unknown
CARDIWEB,UNVERIFIED:unknown
CARE BRAND MANAGEMENT,UNVERIFIED:unknown
CAREL,carel.com
CAREL SA,carel.com
CARENE ASSURANCES,UNVERIFIED:unknown
CARHARTT WIP FRANCE,UNVERIFIED:carhartt-wip.fr
CARIZY,UNVERIFIED:unknown
CARLSBERG,carlsberg.com
CARMIGNAC,carmignac.com
CARMILA,carmila.com
CAROL BURO,UNVERIFIED:unknown
CARREFOUR,carrefour.com
CARREFOUR BELGIUM,carrefour.be
CARREFOUR DSI FRANCE,UNVERIFIED:unknown
CARREFOUR GLOBAL,carrefour.com
CARREFOUR GROUP,carrefour.com
CARREFOUR ITALIA,carrefour.it
CARREFOUR LINKS,UNVERIFIED:unknown
CARREFOUR MARCHANDISES INTERNATIONALES,UNVERIFIED:unknown
CARREFOUR MARKET BELGIUM,carrefour.be
CARREFOUR SYSTEME D'INFORMATION,UNVERIFIED:unknown
CARREFOUR SYSTEMES D'INFORMATION,UNVERIFIED:unknown
CARREFOUR TUNISIE,carrefour.tn
CARREFPIR,UNVERIFIED:unknown
CARTER-CASH,UNVERIFIED:unknown
CARTES BANCAIRES CB / CRÉDIT AGRIOCLE,UNVERIFIED:unknown
CARTIER CREATION STUDIO,UNVERIFIED:unknown
CARTIER INTERNATIONAL,cartier.com
CARTIER SA,cartier.com
"CASA UNLIMITED ENTERPRISES, INC",UNVERIFIED:unknown
CASH CONVERTERS BELGIUM,cashconverters.be
CASH CONVERTERS EUROPE,cashconverters.eu
CASH PISCINES,cash-piscines.com
CASHSYSTEMES,UNVERIFIED:unknown
CASINO,UNVERIFIED:unknown
CASTORAMA,castorama.com
CATALINA,catalina.com
CAUDALIE,caudalie.com
CAVES CARRIÈRE,UNVERIFIED:unknown
CB SERVICES,UNVERIFIED:unknown
CBM LAJEADO,UNVERIFIED:unknown
CBN,cbn.com
CCHM KOENE HOLDING BV,UNVERIFIED:unknown
CCI MARTINIQUE,UNVERIFIED:unknown
CCL,UNVERIFIED:unknown
CCV,ccv.com
CD TEL,UNVERIFIED:unknown
CDF,UNVERIFIED:unknown
CDISCOUNT,cdiscount.com
CDP,cdp.net
CELIO,celio.com
CENNOX,cennox.com
CENTRAKOR,centrakor.com
CENTRAKOR BRET ET TARDY,UNVERIFIED:unknown
CENTRAKOR WEB,UNVERIFIED:unknown
CENTRAL DO VAREJO,UNVERIFIED:unknown
CENTRE DES MONUMENTS NATINAUX,monuments-nationaux.fr
CENTRE DES MONUMENTS NATIONAUX,monuments-nationaux.fr
CENTRES DISTRIBUTEURS E. LECLERC,leclerc.com
CENTRIC SOFTWARE,centricsoftware.com
CENTURY 21 ART IMMO,UNVERIFIED:unknown
CERCLE DES VOYAGES,UNVERIFIED:unknown
CERTIDEAL,UNVERIFIED:unknown
CF360,UNVERIFIED:unknown
CFAO SODIAPA,UNVERIFIED:unknown
CGP COATING INNOVATION,UNVERIFIED:unknown
CHAIS D'ŒUVRE,UNVERIFIED:unknown
CHALHOUB GROUP,chalhoubgroup.com
CHALLENGES,UNVERIFIED:unknown
CHAMBRE DE COMMERCE DE PARIS ( EX: SFA),UNVERIFIED:unknown
CHAMPION,champion.com
CHAMPION ENTREPRISES,UNVERIFIED:unknown
CHANEL,chanel.com
CHANEL COORDINATION SAS,UNVERIFIED:unknown
CHANEL SAS,chanel.com
CHANNEL ISLANDS COOP,UNVERIFIED:unknown
CHANTELLE,chantelle.com
CHANTELLE LINGERIE,chantelle-lingerie.com
CHAPITRE.COM,chapitre.com
CHARVET DIGITAL MEDIA,UNVERIFIED:unknown
CHATEAU MAIME,chateaumaime.com
CHECK PLANET,UNVERIFIED:unknown
CHECKLENS GMBH,UNVERIFIED:unknown
CHECKPOINT SYSTEMS,checkpointsystems.com
CHEFCLUB,chefclub.com
CHEIL,UNVERIFIED:unknown
CHEIL (SAMSUNG),cheil.com
CHIC CHIC RESTAURANT,UNVERIFIED:unknown
CHLOE,chloe.com
CHOCOLAT DES PRINCES,UNVERIFIED:chocolatdesprinees.com
CHOCOLATERIE DE PUYRICARD,chocolateriepuyricard.com
CHOPARD,chopard.com
CHRISTIAN DIOR COURTURE,dior.com
CHRISTIAN DIOR COUTURE,dior.com
CHRISTIAN LOUBOUTIN,christianlouboutin.com
CHRISTOFLE,christofle.com
CHRONODRIVE,chronodrive.com
CHUANGDIAN EXPO,UNVERIFIED:unknown
CHULLANKA,UNVERIFIED:unknown
CIA CONAD,UNVERIFIED:unknown
CIC,UNVERIFIED:unknown
CIGALE ET FOURMI,UNVERIFIED:unknown
CIGUSTO,UNVERIFIED:unknown
CIM,UNVERIFIED:unknown
CINE GROUP,UNVERIFIED:unknown
"CIPHERLAB CO.,LTD",cipherlab.com
CIRANO,cirano.qc.ca
CIRCLE K TREASURY OPERATIONS EUROPE AS,UNVERIFIED:unknown
CISCO,cisco.com
CITE MARINE,UNVERIFIED:unknown
CITY DISTRIBUTION,UNVERIFIED:unknown
CJ RETAIL SOLUTIONS GLOBAL,cjretailsolutionsglobal.com
CJ RETAILS SOLUTIONS GLOBAL LTD,UNVERIFIED:unknown
CLAIRES,claires.com
CLARINS,clarins.com
CLARINS FRANCE,clarins.com
CLAUDIE PIERLOT,claudiepierlot.com
CLAYM,UNVERIFIED:unknown
CLAYSIDE,UNVERIFIED:unknown
CLC COMMUNICATION,UNVERIFIED:unknown
CLEAN STRIKE,UNVERIFIED:unknown
CLEMSYS,UNVERIFIED:unknown
CLEON,UNVERIFIED:unknown
CLETUDE,UNVERIFIED:unknown
CLEVER-AGE,clever-age.com
CLOVEN,UNVERIFIED:unknown
CLOVING.CO.UK,cloving.co.uk
CLUB ENSEIGNE ET INNOVATION,UNVERIFIED:unknown
CLUB I3A,UNVERIFIED:unknown
CMC,UNVERIFIED:unknown
CMXP,UNVERIFIED:unknown
CNCC,UNVERIFIED:unknown
CNP,UNVERIFIED:unknown
COALIMENT,UNVERIFIED:unknown
COBRA / HL CONSULTING,UNVERIFIED:unknown
COCA-COLA EUROPACIFIC PARTNERS,ccep.com
CODIDIS,UNVERIFIED:unknown
CODYSSEE,UNVERIFIED:unknown
COFEL,UNVERIFIED:unknown
COFIDIS GROUPE,UNVERIFIED:unknown
COLIM,UNVERIFIED:unknown
COLISCONSULT,UNVERIFIED:unknown
COLIZEY,UNVERIFIED:unknown
COLLECTIONS IMPERIALES,UNVERIFIED:unknown
COLOR ACADEMY,UNVERIFIED:unknown
COLORFUL BLACK / PSDV,UNVERIFIED:unknown
COLRUYT GROUP,colruyt.com
COMAVE,UNVERIFIED:unknown
COMEBACK,UNVERIFIED:unknown
COMEOS ASBL,UNVERIFIED:unknown
COMERCIAL CITY FRESKO,UNVERIFIED:unknown
COMEXPOSIUM,comexposium.com
COMMUNISIS,communisis.com
COMPAGNIE DES ALPES,UNVERIFIED:unknown
COMPASS GROUP FRANCE,UNVERIFIED:unknown
COMPTOIR NATIONAL DE L'OR,UNVERIFIED:unknown
COMPTOIR TEXTILE HOTELIER,UNVERIFIED:unknown
CONAD,conad.it
CONAD NORD OVEST,conadnordovest.it
CONECS,UNVERIFIED:unknown
CONFEDERAÇÃO NACIONAL DE DIRIGENTES LOJISTAS,UNVERIFIED:unknown
CONFÉDÉRATION NATIONALE DES BURALISTES DE FRANCE,UNVERIFIED:unknown
CONFLUENT-DIGITAL,confluent-digital.com
CONFORAMA,conforama.com
CONNEXION BOIS DIRECT,UNVERIFIED:unknown
CONSO SOCIAL,UNVERIFIED:unknown
CONSORÉGIE LECLERC,UNVERIFIED:unknown
CONTINUUM PLUS SANTÉ,UNVERIFIED:unknown
COOC,UNVERIFIED:unknown
COOP,coop.com
CO-OP,coop.com
COOP EESTI,coop.ee
COOP EESTI KESKÜHISTU,coop.ee
CO-OPERATIVE GROUP,coop.co.uk
COOPERATIVE U,UNVERIFIED:unknown
COOPÉRATIVE U,cooperative-u.com
COOPERATVE U,UNVERIFIED:unknown
COP ÉNERGIE,UNVERIFIED:cop-energie.com
COPYTOP,UNVERIFIED:unknown
COPY-TOP,UNVERIFIED:unknown
CORA,corahealth.com
CORA FRANCE,UNVERIFIED:unknown
CORA INFORMATIQUE,UNVERIFIED:unknown
CORA SUPERMARKET,UNVERIFIED:unknown
CORFORT SARL,UNVERIFIED:unknown
CORHOFI,UNVERIFIED:unknown
CORNILLEAU,cornilleau.com
CORSICA FERRIES,corsica-ferries.com
COTE SUSHI,UNVERIFIED:unknown
COTY LUXURY,coty.com
COURIR,courir.com
COURRÈGES,courreges.com
COURSIER.FR,coursier.fr
COUV'EMPLOI,UNVERIFIED:unknown
CRAI,crai.com
CRAI SARDEGNA,UNVERIFIED:unknown
CRAI SECOM,UNVERIFIED:unknown
CREADEV,UNVERIFIED:unknown
CREATHLON,UNVERIFIED:unknown
CREDIT AGRICOLE DES SAVOIE,ca-des-savoie.fr
