company,domain
ALDI INTERNATIONAL SERVICES SE & CO. OHG,aldi.com
ALDI SÜD,aldi-sued.com
ALEXANDER MCQUEEN,alexandermcqueen.com
ALIBABA,alibaba.com
ALIBABA CLOUD,alibabacloud.com
ALIBABA GROUP,alibaba.com
ALICE À PARIS,aliceaparis.com
ALIEXPRESS,aliexpress.com
ALINEA,alinea.com
ALLEGRO,allegro.com
ALLIANCE DU COMMERCE,UNVERIFIED:alliance-du-commerce.fr
ALLOPNEUS,allopneus.com
ALLSAINTS,allsaints.com
ALLURE,allure.com
ALTAVIA PARIS,altavia-paris.com
ALTERMUNDI,altermundi.com
AMAC,amac.org
AMAZON,amazon.com
AMAZON BUSINESS,amazonbusiness.com
AMAZON WEB SERVICES,aws.amazon.com
AMC,amc.com
AMERICA TODAY,americatoday.com
AMERICAN TOURISTER,americantourister.com
AMERICAN VINTAGE,americanvintage.com
AMETLLER ORIGEN,ametllerorigen.com
AMEX,americanexpress.com
AMG MEDICAL,amgmedical.com
AMI PARIS,ami-paris.com
AMINA MUADDI,aminamuaddi.com
AMINA MUADDI/ AM DESIGN,aminamuaddi.com
ANGLING DIRECT PLC,UNVERIFIED:anglelingdirect.co.uk
ANTONELLE,antonelle.com
APPLE,apple.com
ARABIAN OUD,arabianoud.com
ARCTIC PAPER,arcticpaper.com
ARDO FOODS NV,UNVERIFIED:ardo-foods.com
ARGEDIS / TOTAL ENERGIES,total-energies.com
ARGEDIS-TOTALENERGIES,UNVERIFIED:argedis-totalenergies.com
ARLETTIE ONLINE,arlettie.com
ARMAND THIERY S.A.S,UNVERIFIED:armandhiery.com
ARMOR LUX,armorlux.com
ARMOR-LUX,armor-lux.com
AROBS,arobs.com
AROMA-ZONE,aroma-zone.com
ARSENAL FOOTBALL CLUB,arsenal.com
ARTSANA,artsana.com
AS WATSON,aswatson.com
ASDA SUPERMARKETS,asda.com
ASSOCIATED WEAVERS EUROPE NV,aw-europe.com
ASTERA,asteraglobal.com
ATELIER DU SOURCIL,atelierdusourcil.com
ATLASFORMEN,atlasformen.com
ATOL,atol.com
AUBADE,aubade.com
AUBADE PARIS,aubadeparis.com
AUBERT,aubert.com
AUCHAN,auchan.com
AUCHAN RETAIL,auchan.com
AUCHAN RETAIL FRANCE,auchan.fr
AUCHAN RETAIL INTERNATIONAL,auchan.com
AUCHAN.FR,auchan.fr
AUSTRALIAN RETAILERS ASSOCIATION,ara.net.au
AUTHENTIC,authentic.com
AUTOGRILL S.P.A.,autogrill.com
AUTOMOBILE CLUB DE L'OUEST,aco.fr
AVEM GROUP,avemgroup.com
AWIN,awin.com
AXA,axa.com
AXA FRANCE,axa.fr
AZULLI,azulli.com
AZURE,azure.com
B&M,bm.com
BACCARAT,baccarat.com
BACK MARKET,backmarket.com
BAGAGES DU MONDE,UNVERIFIED:inconnue
BALENCIAGA,balenciaga.com
BALZAC PARIS,balzacparis.com
BAMBAW,bambaw.com
BANCO ITAÚ SA,itau.com.br
BANCO ITAU UNIBANCO SA,itau.com.br
BANQUE DE FRANCE,banque-de-france.fr
BANQUE POPULAIRE,banquepopulaire.fr
BANQUE POPULAIRE AUVERGNE RHÔNE ALPES,bpaura.fr
BANQUE POPULAIRE AUVERGNE RHÔNE-ALPES,banquepopulaire.fr
BARBARA BUI,barbarabui.com
BASE,base.com
BASILE,basile.com
BAZARCHIC,bazarchic.com
BEAUMANOIR,beaumanoir.com
BEAUTY SUCCESS,beautysuccess.com
BECQUET,becquet.com
BEIESDORF,beiersdorf.com
BERGÈRE DE FRANCE,UNVERIFIED:bergerefrance.com
BEVH - GERMAN E-COMMERCE AND DISTANCE SELLING TRADE,bevh.org
BHV MARAIS,bhv-marais.com
BIC,bic.com
BIGBEN CONNECTED,bigbenconnected.com
BILLETWEB,billetweb.com
BIOCOOP,biocoop.fr
BIOCOOP SA,biocoop.fr
BLADE,blade.com
BLANCHE PORTE,blancheporte.com
BLANCHEPORTE,blancheporte.com
BMC,bmc.com
BNP,bnpparibas.com
BNP PARIBAS,bnpparibas.com
BNP PARIBAS PERSONAL FINANCE,UNVERIFIED:bnpparibaspersonalfinance.com
BNPP,bnpparibas.com
BNPPARIBAS,bnpparibas.com
BOBOCHIC,bobochic.com
BOCAGE,bocage.com
BOESNER,boesner.com
BOKU,boku.com
BONFIGLIOLI TRANSMISSIONS,bonfiglioli.com
BONG,bong.com
BONGÉNIE,UNVERIFIED:bongeinie.com
BONPOINT,bonpoint.com
BONPRIX,bonprix.com
BOUCHARA,bouchara.com
BOULANGER,boulanger.com
BOULANGERIES MARIE BLACHÈRE,UNVERIFIED:boulangeries-marie-blachère.com
BOUYGUES TELECOM,bouyguestelecom.fr
BPCE,bpce.fr
BPOST SA,bpost.be
BRANCHEZRUGBY.FR,branchezrugby.fr
BRAND ALLEY,brandalley.com
BRED BANQUE POPULAIRE,UNVERIFIED:bred-banque-populaire.com
BRICO DÉPÔT,bricodepot.com
BRICO IO SPA,UNVERIFIED:brico-io.it
BRICOMAN,UNVERIFIED:bricoman.com
BRICOMARCHE,bricomarche.com
BRICOPRIVE.COM,bricoprive.com
BRICOZOR,bricozor.com
BRINK'S,brinks.com
BRIOCHE DORÉE,briochedoree.com
BRITISH HEART FOUNDATION,bhf.org.uk
BROOKLYN CANDLE STUDIO,brooklyncandlestudio.com
BRUN DE VIAN-TIRAN,brundeviantiran.com
BUFFALO GRILL,UNVERIFIED:buffalogrillcom
BULGARI,bulgari.com
BURBERRY,burberry.com
BUREAU VALLÉE,bureau-vallee.com
BURGER KING,burgerking.com
BUSINESS FRANCE,businessfrance.fr
BUT,but.com
BYREDO,byredo.com
C&A FRANCE,ca-france.com
CACHE CACHE,cache-cache.com
CAFE COTON,cafecoton.com
CAFÉ COTON,cafecoton.com
CAISSE D'EPARGNE IDF,caisse-epargne.fr
CAISS'MAG SYSTÈMES,UNVERIFIED:caissmag-systemes.com
CAMIF MATELSOM,camif-matelsom.com
CANAL+,canalplus.com
CANAL+ GROUP,canalplus.com
CARAN D'ACHE,carandache.com
CARAPELLI,carapelli.com
CAREL,carel.com
CAREL SA,carel.com
CARHARTT WIP FRANCE,UNVERIFIED:carhartt-wip.fr
CARLSBERG,carlsberg.com
CARMIGNAC,carmignac.com
CARMILA,carmila.com
CARREFOUR,carrefour.com
CARREFOUR BELGIUM,carrefour.be
CARREFOUR GLOBAL,carrefour.com
CARREFOUR GROUP,carrefour.com
CARREFOUR ITALIA,carrefour.it
CARREFOUR MARKET BELGIUM,carrefour.be
CARREFOUR TUNISIE,carrefour.tn
CARTIER INTERNATIONAL,cartier.com
CARTIER SA,cartier.com
CASH CONVERTERS BELGIUM,cashconverters.be
CASH CONVERTERS EUROPE,cashconverters.eu
CASH PISCINES,cash-piscines.com
CASTORAMA,castorama.com
CATALINA,catalina.com
CAUDALIE,caudalie.com
CBN,cbn.com
CCV,ccv.com
CDISCOUNT,cdiscount.com
CDP,cdp.net
CELIO,celio.com
CENNOX,cennox.com
CENTRAKOR,centrakor.com
CENTRE DES MONUMENTS NATINAUX,monuments-nationaux.fr
CENTRE DES MONUMENTS NATIONAUX,monuments-nationaux.fr
CENTRES DISTRIBUTEURS E. LECLERC,leclerc.com
CENTRIC SOFTWARE,centricsoftware.com
CHALHOUB GROUP,chalhoubgroup.com
CHAMPION,champion.com
CHANEL,chanel.com
CHANEL SAS,chanel.com
CHANTELLE,chantelle.com
CHANTELLE LINGERIE,chantelle-lingerie.com
CHAPITRE.COM,chapitre.com
CHATEAU MAIME,chateaumaime.com
CHECKPOINT SYSTEMS,checkpointsystems.com
CHEFCLUB,chefclub.com
CHEIL (SAMSUNG),cheil.com
CHLOE,chloe.com
CHOCOLAT DES PRINCES,UNVERIFIED:chocolatdesprinees.com
CHOCOLATERIE DE PUYRICARD,chocolateriepuyricard.com
CHOPARD,chopard.com
CHRISTIAN DIOR COURTURE,dior.com
CHRISTIAN DIOR COUTURE,dior.com
CHRISTIAN LOUBOUTIN,christianlouboutin.com
CHRISTOFLE,christofle.com
CHRONODRIVE,chronodrive.com
"CIPHERLAB CO.,LTD",cipherlab.com
CIRANO,cirano.qc.ca
CISCO,cisco.com
CJ RETAIL SOLUTIONS GLOBAL,cjretailsolutionsglobal.com
CLAIRES,claires.com
CLARINS,clarins.com
CLARINS FRANCE,clarins.com
CLAUDIE PIERLOT,claudiepierlot.com
CLEVER-AGE,clever-age.com
CLOVING.CO.UK,cloving.co.uk
COCA-COLA EUROPACIFIC PARTNERS,ccep.com
COLRUYT GROUP,colruyt.com
COMEXPOSIUM,comexposium.com
COMMUNISIS,communisis.com
CONAD,conad.it
CONAD NORD OVEST,conadnordovest.it
CONFLUENT-DIGITAL,confluent-digital.com
CONFORAMA,conforama.com
COOP,coop.com
CO-OP,coop.com
COOP EESTI,coop.ee
COOP EESTI KESKÜHISTU,coop.ee
CO-OPERATIVE GROUP,coop.co.uk
COOPÉRATIVE U,cooperative-u.com
COP ÉNERGIE,UNVERIFIED:cop-energie.com
CORA,corahealth.com
CORNILLEAU,cornilleau.com
CORSICA FERRIES,corsica-ferries.com
COTY LUXURY,coty.com
COURIR,courir.com
COURRÈGES,courreges.com
COURSIER.FR,coursier.fr
CRAI,crai.com
CREDIT AGRICOLE DES SAVOIE,ca-des-savoie.fr
CREDIT AGRICOLE PAYMENT SERVICES,UNVERIFIED:ca-paymentservices.com
CRÉDIT DU NORD,credit-du-nord.com
CREDIT MUTUEL,credit-mutuel.com
CROCS,crocs.com
CROISIEUROPE,croisieurope.com
CROWNPEAK,crownpeak.com
CSC ITALIA,cscitalia.com
CYBEX,cybex.com
CYKON AB,cykon.se
CYRILLUS VERTBAUDET,UNVERIFIED:cyrillus-vertbaudet.com
DAFY MOTO,dafymoto.com
DAISYCON,daisycon.com
DAMART,damart.com
DAMART / DSB,damart.com
DANIEL HECHTER,danielhechter.com
DARTMOUTH,dartmouth.edu
DBVISIT,dbvisit.com
DCBRAIN,dcbrain.com
DE FENYI CONSEIL,UNVERIFIED:defenyi-conseil.com
DE NEUVILLE,UNVERIFIED:de-neuville.com
DECATHLON,decathlon.com
DECATHLON DIGITAL,decathlon.com
DECATHLON ESPAÑA SAU,decathlon.es
DECATHLON ITALIA,decathlon.it
DECATHLON SE,decathlon.com
DECATHLON TARMAK,UNVERIFIED:tarmak.decathlon.com
DECATHON,decathlon.com
DECOCLICO,UNVERIFIED:decoclico.com
DEEZER,deezer.com
DEGRENNE,degrenne.com
DEL ARTE,UNVERIFIED:delartecompany.com
DELCOURT,delcourt.com
DELIPOP UK,delipop.co.uk
DELL TECHNOLOGIES,dell.com
DELSEY PARIS,delseyparis.com
DELUBAC,delubac.com
DÉMARCHES CHRONO,UNVERIFIED:demarches-chrono.com
DEPILTECH,depiltech.com
DESIGUAL,desigual.com
DEUTSCHE POST GLOBAL MAIL,UNVERIFIED:deutschepostglobalmail.com
DEVIALET,devialet.com
DEVRED,devred.com
DEVRED SA,devred.com
DIGITAGS,digitags.com
DIOR,dior.com
DIOR COUTURE,dior.com
DIPTYQUE,diptyque.com
DIPTYQUE PARIS,diptyque.com
DIRK ROSSMANN GMBH,rossmann.de
DISNEY,disney.com
DISNEYLAND PARIS,disneylandparis.com
DODO,dodo.com
DOKTORABC.COM,doktorabc.com
DOLCE&GABBANA,dolcegabbana.com
DOMADOO SAS,domadoo.com
DOMINO'S PIZZA,dominos.com
DORA BRUSCHI,dorabruschi.com
DOREL FRANCE - MAXI-COSI,maxi-cosi.fr
DOUGLAS,douglas.com
DOUGLAS GMBH,UNVERIFIED:douglas-gmbh.com
DPD FRANCE,dpdfrance.com
DR PIERRE RICAUD,dr-pierre-ricaud.com
DR.MAX,UNVERIFIED:drmax.com
DSC (SAINT-GOBAIN DISTRIBUTION BÂTIMENT FRANCE),UNVERIFIED:dsc.fr
DSM AVOCATS À LA COUR,UNVERIFIED:dsm-avocats.com
DSQUARED2,dsquared2.com
DU BRUIT DANS LA CUISINE,UNVERIFIED:dubruit-dans-la-cuisine.com
DUBAI SOUTH,dubaisouth.ae
DUFRY,dufry.com
DUTY FREE,dutyfree.com
DYPTIQUE,diptyqueparis.com
DYSON,dyson.com
E. LECLERC,leclerc.com
E. LECLERC BLOIS,UNVERIFIED:leclerc-blois.com
E.LECLERC,e-leclerc.com
EASYCASH,easycash.com
EBAY,ebay.com
EBIKE-CITY,ebike-city.com
EBULOBO,ebulobo.com
ECODYNAMIX.FR,ecodynamix.fr
ECOLE SUPÉRIEURE ESTIENNE,estienne.fr
ECOLIVE FRANCE,UNVERIFIED:ecolivefrance.com
ECOMIAM,ecomiam.com
ECOMMERCE EUROPE,UNVERIFIED:ecommerceeurope.eu
EDEKA,edeka.de
EDEN BEING,UNVERIFIED:edenbeingcom
EDEN PARK,edenpark.com
EDENLY,edenly.com
EDITA,UNVERIFIED:edita.com
EDMOND DE ROTHSCHILD,edmond-de-rothschild.com
EHI RETAIL INSTITUTE,UNVERIFIED:ehi-retail-institute.de
EIGHT ADVISORY,eightadvisory.com
EKOI,ekoi.com
ELARABY GROUP,elarabygroup.com
E-LECLERC,leclerc.com
ELECTRO DEPOT,electrodepot.com
ELIOR,elior.com
ELIOR GROUP,eliorgroup.com
ELITIS,elitis.com
ELLOS,ellos.com
ELSEVIER,elsevier.com
EMINZA,eminza.com
EMMA - THE SLEEP COMPANY,UNVERIFIED:emma-the-sleep-company.com
EMMA SLEEP,UNVERIFIED:emmalogsleep.com
ÉMOI ÉMOI,UNVERIFIED:emoimoi.com
EMOVA GROUP,emovagroup.com
ENDLESS GOODS,UNVERIFIED:endlessgoods.com
ENGIE,engie.com
ENGIE HOME SERVICES,engieservices.com
ENVIE DE FRAISE,enviedefraise.com
E-PARAPHARMACIE,e-parapharmacie.com
EPSON FRANCE,epson.fr
ERES,eres.com
ERIC BOMPARD,ericbompard.com
ERICFAVRE.COM,ericfavre.com
EROSKI S.COOP,eroski.es
ESPM ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,espm.br
ESTEBAN PARIS PARFUMS,UNVERIFIED:estebanparisparfums.com
ESTEE LAUDER,esteelauder.com
ESTEE LAUDER COMPANIES,esteelauder.com
ESTÉE LAUDER COMPANIES,esteelauder.com
ETAM,etam.com
EURATECHNOLOGIES,euratechnologies.com
EURONICS INTERNATIONAL,UNVERIFIED:euronics-international.com
EURONICS INTERNATIONAL B.V.,euronics.com
EURONICS INTL.,euronics.com
EUROPCAR,europcar.com
EUROPEAN INVESTMENT BANK,eib.europa.eu
EVANEOS,evaneos.com
EVOLUTION,evolution.com
EVOLUTIVE GROUP,UNVERIFIED:evolutivegroup.com
EVOLUTIVE-GROUP,evolutive-group.com
EVY,evy.com
EXKI,exki.com
EXPANSCIENCE,expanscience.com
EXPERIENCED CAPITAL,UNVERIFIED:unknwon
EXXONMOBIL CHEMICALS,exxonmobilchemical.com
EYROLLES,eyrolles.com
FACEBOOK FRANCE SARL,facebook.fr
FAGUO,faguo.com
FÄRM - EKOPLAZA,UNVERIFIED:farm-ekoplaza.nl
FARM RIO,farmrio.com
FAST RETAILING,fastretailing.com
FAST RETAILING GROUP,fastretailing.com
FAZER,fazer.fi
FERRERO,ferrero.com
FESTO,festo.com
FIMALAC,fimalac.com
FINNISH DESIGN SHOP,finnishdesignshop.com
FINTECTURE,fintecture.com
FIOULMARKET.FR,fioulmarket.fr
FLOA,floa.com
FLORAJET,florajet.com
FLORAL ATLANTA,floralatlanta.com
FNAC - DARTY,fnac-darty.com
FNAC / DARTY,fnac.com
FNAC / MSS,fnac.com
FNAC DARTY,fnacdarty.com
FNAC/DARTY,fnac-darty.com
FNACDARTY,fnacdarty.com
FNACK DARTY,UNVERIFIED:fnackanddarty.com
FONQ,fonq.nl
FONQ.NL,fonq.nl
FOODCHERI,foodcheri.com
FOOT LOCKER,footlocker.com
FOOT LOCKER EUROPE BV,footlockereurope.com
FOOT LOCKER INC.,footlocker.com
FORTNUM AND MASON PLC,fortnumandmason.com
FRAGRANCE.COM,fragrance.com
FRANÇAISE DES JEUX,fdj.fr
FRANCE GALOP,france-galop.com
FRANCE TONER,francetoner.com
FRANCE-AUTOMATISMES.COM,france-automatismes.com
FRANCK PROVOST,franckprovost.com
FRANPRIX,franprix.com
FRANPRIX - LEADER PRICE GROUPE CASINO,UNVERIFIED:franprix-leaderprice.com
FREE,free.com
FREECOM,freecom.com
FREQUENTIEL,frequentiel.com
FUGAM - PECHEUR.COM,pecheur.com
FUJITSU FRONTEC,UNVERIFIED:fujitsu-frontec.com
FUJITSU FRONTECH NORTH AMERICA,fujitsufrontechna.com
FUSALP,fusalp.com
FUTUROSCOPE,futuroscope.com
G2A.COM,g2a.com
GALERIES LAFAYETTE,galerieslafayette.com
GALERIES LAFAYETTE CHAMPS ELYSÉES,galerieslafayette.com
GALERIES LAFAYETTE HAUSSMANN,galerieslafayette.com
GALP,galp.com
GAMM VERT,UNVERIFIED:gammvert.com
GANT,gant.com
GBH,gbh.org
GEDIMAT,gedimat.com
GEELY/CAOCAO,geely.com
GENERAL OPTICA,generaloptica.com
GÉRARD DAREL,gerardarel.com
GIESECKE & DEVRIENT,UNVERIFIED:giesecke-devrient.com
GINA TRICOT,ginatricot.com
GINA TRICOT AB,ginatricot.com
GLOBUS MARKTHALLEN HOLDING GMBH & CO.KG,UNVERIFIED:globus-markthallen.de
GLORIA JEANS,UNVERIFIED:gloriajeanssite.com
GLOVO,glovoapp.com
GO SPORT,gosport.com
GO SPORT FRANCE,gosport.fr
GOOGLE CHROMEOS,chrome.google.com
GOOGLE CLOUD,cloud.google.com
GOYARD,goyard.com
GPV FRANCE,gpv-france.com
GRANDVISION,grandvision.com
GRANDVISION (ESSILOR LUXOTTICA),grandvision.com
GRANDVISION BENELUX,grandvision.nl
GRANT & FIORI,UNVERIFIED:grantandfiori.com
GREENWEEZ,greenweez.com
GREENWEEZ SA,greenweez.com
GROUPE ADP,groupeadp.fr
GROUPE ASTEN,groupe-asten.com
GROUPE BEAUMANOIR,beaumanoir.com
GROUPE BLACHERE,blachere.com
GROUPE CAMPUS,groupe-campus.com
GROUPE CANAL+,canalplus.com
GROUPE CARREFOUR,carrefour.com
GROUPE CASINO,groupe-casino.com
GROUPE CHANTELLE,chantelle.com
GROUPE COURIR,courir.com
GROUPE ERAM,eram.com
GROUPE ETAM,etam.com
GROUPE FERRON,UNVERIFIED:groupe-ferron.com
GROUPE FNAC DARTY,fnacdarty.com
GROUPE GO SPORT,UNVERIFIED:groupegesport.com
GROUPE IGS,UNVERIFIED:groupe-igs.com
GROUPE JOUECLUB,joueclub.fr
GROUPE LA POSTE,laposte.fr
GROUPE LDLC,ldlc.com
GROUPE MANUTAN,manutan.com
GROUPE MARIE CLAIRE,marieclaire.com
GROUPE MARQUES AVENUE,marcavenue.com
GROUPE NOCIBE,nocibe.fr
GROUPE PIERRE FABRE,pierrefabre.com
GROUPE ROCHER,groupe-rocher.com
GROUPE SAVENCIA,savencia.com
GROUPE SEB,groupeseb.com
GROUPE V AND B,vandb.com
GROUPE WATERAIR,waterair.com
GROUPE YVES ROCHER,yves-rocher.com
GROUPEMENT DES CARTES BANCAIRES CB,cartes-bancaires.com
GROUPEMENT LES MOUSQUETAIRES,mousquetaires.com
GROUPEMENT MOUSQUETAIRES,mousquetaires.com
GROUPON FRANCE,groupon.fr
GRUPO BOTICARIO,grupoboticario.com.br
GUCCI,gucci.com
GUERLAIN,guerlain.com
GUINOT,guinot.com
GUINOT - MARY COHR,UNVERIFIED:guinot-marycohr.com
H&M,hm.com
HAGER GROUP,hager-group.com
HAIRSTORE,hairstore.com
HALEON,haleon.com
HANES,hanes.com
"HANKYU HANSHIN DEPARTMENT STORES, INC.",UNVERIFIED:hankyuhanshin.co.jp
HARIBO,haribo.com
HARLEY-DAVIDSON FRANCE,harley-davidson.fr
HARTFORD,hartford.com
HAVAS,havas.com
HEINEKEN ENTREPRISE,heineken.com
HELLENIC CONFEDERATION OF COMMERCE AND ENTREPRENEURSHIP,esee.gr
HELLOPRO,hellopro.com
HEMA,hema.com
HEMA B.V.,hema.nl
HERBALIFE,herbalife.com
HERIGE,herige.com
HERMES,hermes.com
HERMÈS,hermes.com
HERMÈS PARFUM BEAUTÉ,hermes.com
HEYTENS,heytens.com
HIFI INTERNATIONAL,hifiinternational.com
HIPANEMA,hipanema.com
HISTOIRE D'OR,histoiredor.com
HISTOIRE D'OR - THOM GROUP,histoiredor.com
HOME,home.com
HOURA,houra.com
HOURGLASS COSMETICS,hourglasscosmetics.com
HP,hp.com
HTTPS://NAMELAKA.UA/,namelaka.ua
HUAWEI,huawei.com
HUAWEI ENTREPRISE,enterprise.huawei.com
HUB ONE,hub-one.com
HUB.BRUSSELS,hub.brussels
HUGO BOSS,hugoboss.com
HUNKEMOLLER,hunkemoller.com
IBM,ibm.com
IBM CONSULTING FRANCE,ibm.com
ICA SUPERMARKET,ica.se
ICON,iconplc.com
ID&CO,idandco.com
IDGROUP,idgroup.com
IDKIDS,idkids.com
IKEA,ikea.com
IKEA FRANCE,ikea.fr
IKEA GROUP,ikea.com
IKKS GROUP,ikks.com
IKKS RETAIL,UNVERIFIED:ikksretail.com
INFOR,infor.com
INGENICO,ingenico.com
INMAC-WSTORE,inmac-wstore.com
INNOVE DESIGN,UNVERIFIED:innovedesi.gn
INOUI EDITIONS,inoui-editions.com
INSIDER,insider.com
INSTITUT FRANÇAIS DE LA MODE,UNVERIFIED:ifmode.fr
INTERGAMMA,intergamma.com
INTERMARCHE,intermarche.com
INTERMARCHÉ,intermarche.com
INTERMARCHE & NETTO,UNVERIFIED:intermarche-netto.com
INTERMARCHÉ ALIMENTAIRE INTERNATIONAL,intermarche.com
INTERPARFUM,interparfum.com
INTERSPORT,intersport.com
INTERSPORT FRANCE,intersport.fr
IRASSHAI,irasshai.com
IROBOT,irobot.com
IRRITEC,irritec.com
ISABEL MARANT,isabelmarant.com
ITAU UNIBANCO,itau.com.br
IUT EVREUX,UNVERIFIED:iut-evreux.fr
J.P. MORGAN,jpmorganchase.com
JACADI,jacadi.com
JACQUEMUS,jacquemus.com
JAPAN EXPERIENCE,japan-experience.com
JARDILAND,jardiland.com
JC DECAUX,jcdecaux.com
JCB,jcb.com
JDSPORTS PLC,jdsports.com
JEAN BOUTEILLE,jeanbouteille.com
JEFF DE BRUGES,jeffdebruges.com
JENNYFER,jennyfer.com
JM WESTON,jmweston.com
JNJ,jnj.com
JÕGEVA MAJANDUSÜHISTU,jogeva.ee
JOHN LEWIS PARTNERSHIP,johnlewispartnership.co.uk
JOHN LIBBEY EUROTEXT,UNVERIFIED:john-libbey-eurotext.com
JONAK,jonak.com
JULA AB,jula.se
JURATOYS,UNVERIFIED:juratoys.com
JYSK,jysk.com
KANTAR WORLDPANEL,kantar-worldpanel.com
KAPORAL,kaporal.com
KAPPA,kappa.com
KAROIL - GROUPE AUTOVISION,karoil.com
KAUFLAND,kaufland.com
KAWASAKI,kawasaki.com
KCAL,kcal.com
KCAL COLLECTIVE,kcalcollective.com
KENZO,kenzo.com
KERING,kering.com
KERING GROUP,kering.com
KESKO OYJ,kesko.fi
KFC FRANCE,kfc.fr
KFC FRANCE | YUM! RESTAURANTS INTERNAT,kfc.fr
KIABI,kiabi.com
KIKO MILANO,kikomilanoshop.com
KIKO MILANO SPA,UNVERIFIED:kikomilanospachrome.com
KILOUTOU,kiloutou.com
KING JOUET,kingjouet.com
KINGFISHER,kingfisher.com
KLÉPIERRE,klepierre.com
KODAKMOMENTS,kodakmoments.com
KODAKMOMENTS.,kodakmoments.com
KONTOOR BRANDS,kontoorbrands.com
KRËFEL,krefel.be
KUBII,kubii.com
KWANKO,kwanko.com
L COMMERCE,lcommerce.com
L:A BRUKET,labruket.com
LA BAGAGERIE,labagagerie.com
LA BANQUE POSTALE,labanquepostale.fr
LA BELLE BOUCLE,UNVERIFIED:labelbelle.com
LA BELLE-ILOISE,UNVERIFIED:labelle-iloise.com
LA CHAMBRE,lachambre.com
LA CORDÉE PLEIN AIR,lacordee.ca
LA FRANCAIS DES JEUX,fdj.fr
LA FRANCAISE DES JEUX,lfdj.com
LA GRANDE RECRE,lagranderecre.com
LA GRANDE RÉCRÉ,lagranderecre.fr
LA HALLE,lahalle.com
LA HALLE - GROUPE BEAUMANOIR,lahalle.com
LA MAISON CONVERTIBLE,UNVERIFIED:lamaison-convertible.com
LA MAISON DU CHOCOLAT,lamaisonduchocolat.com
LA MONNAIE DE PARIS,monnaiedeparis.fr
LA PLATEFORME DU BATIMENT,UNVERIFIED:laplateforme-du-batiment.com
LA POSTE,laposte.fr
LA POSTE (BRANCHE GRAND PUBLIC ET NUMERIQUE),laposte.fr
LA PROCURE,laprocure.com
LA REDOUTE,laredoute.com
LA TRINITAINE,UNVERIFIED:la-trinitaine.com
LAALI.FR,UNVERIFIED:laali.fr
LABORATOIRE PIERRE FABRE DERMO COSMETIQUE,pierre-fabre.com
LABORATOIRES CINQ MONDES,cinqmondes.com
LABORATOIRES FILORGA,filorga.com
LABORATOIRES YVES ROCHER,yves-rocher.com
LABOUTIQUEOFFICIELLE.COM,laboutiqueofficielle.com
LACOSTE,lacoste.com
LACOSTE E-COMMERCE,lacoste.com
LACOSTE FRANCE,lacoste.com
LADUREE,laduree.com
LAGARDERE,lagardere.com
LAGARDERE TRAVEL RETAIL,UNVERIFIED:lagardere-travel-retail.com
LAGARDÈRE TRAVEL RETAIL,lagardere-tr.com
LANCASTER,lancaster.com
LANDA,landaglobal.com
LANDMARK GROUP,landmarkgroup.com
LASCANA BRAND GROUP OTTO GMBH & CO. KGAA,lascana.de
