"Issue Type","Key","Created","Summary","Assignee","Reporter","Priority","Status","Resolution","Updated","Description"
"Ticket","DSH-5506","2025-04-08T18:30:22.233+0200","[Dashboard] Cannot Filter Campaign Calls by Results","Unassigned","Zoltan Viragh","Normal","Triaged","Unresolved","2025-04-10T10:48:18.491+0200","Hi! Probably related to this to some capacity: https://cloudtalk.atlassian.net/browse/DSH-5502 What happened? • Client reported they are unable to filter their campaign calls by survey results. Whenever they select one of the options they are met with the following message ""There is no survey data yet"" When attempting to download said results the user is met with ""Campaign Survey Answers Not Found"" alternatively the request just times out.  How to reproduce? Step by step. • Impersonate the client.  • Open one of their campaigns e.g. BOTB 1 6 Apr (id 245985)  • Navigate to Survey Answers  • Attempt to filter by results  • Attempt to download Survey Answers  Expected behavior? • Campaign results should be filtered by results and reports should be downloadable.  Company id: 257449 MRR at risk:€266.00 Link to logs: • Please see attached HAR files.  Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5505","2025-04-08T15:16:37.272+0200","[Dashboard] Incorrect Pi Chart In Campaign Details","Unassigned","Zoltan Viragh","High","Under Triage","Unresolved","2025-04-10T10:57:22.213+0200","Hi! What happened? • Title may be misleading as the issue is the complete lack of a chart. When the client inspects the following campaign: NX - OBS - FROID - 6000 CRL ID: 243923  They are met with the following message in the details screen: ""No calls have been scheduled."" If we inspect the same campaign via the legacy dashboard/ph admin the pi chart says ""196 remaining contacts"" which are their scheduled calls. How to reproduce? Step by step. • Inspect the mentioned campaign via impersonation and Ph Admin.  Expected behavior? • The info in the legacy dashboard is correct so the new dashboard should display the same.  Company id: 270427 MRR at risk:€1 050,00 Har files attached from both dashboards. Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5502","2025-04-07T21:52:33.994+0200","[Dashboard] Campaign Statistics/Survey Answers Wont Load","Arnaldo Tema","Zoltan Viragh","High","Triaged","Unresolved","2025-04-10T10:48:27.740+0200","Hi! What happened? • Client reported they are unable to access the statistics and survey answers panels of the following campaign: Name: NX - OBS - FROID - 6000 CRLID: 243923  It fails to load on each attempt. How to reproduce? Step by step. • Impersonate 270427  • Navigate to Campaigns  • Open the specified campaign  • Navigate to the statistics tab  • Navigate to the survey answers tab  Expected behavior? • The campaign statistics and survey answers should load.  Company id: 270427 MRR at risk:€1 050,00 Link to logs: • Please see attached HAR  Could you please take a look? Thank you! Attachmentscampaign loading.har • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5499","2025-04-04T21:16:15.895+0200","[Dashboard] Incorrect Callback Count","Arnaldo Tema","Zoltan Viragh","High","Triaged","Unresolved","2025-04-07T10:09:30.847+0200","Hi! What happened? • Client reported that the successful callback count for the 2nd of April on their account is wrong/confusing. Its showing 21 successful callbacks out of 14 missed calls.  How to reproduce? Step by step. • Unable to.  • Can be observed by impersonating the client.  • Filtering the 2nd of April and the following number: +32 460 20 31 33  Expected behavior? • The number of successful callbacks should not exceed the number of missed calls.  Company id: 195933 MRR at risk:$500.00 Link to logs: • Attached callback logs. They had 15 successful ones on that day.  ‌Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5497","2025-04-04T18:01:18.710+0200","[AN] Calls Arent Being Processed","Arnaldo Tema","Zoltan Viragh","Very high","Closed","Done","2025-04-10T15:51:47.407+0200","Hi! What happened? • Clients are reporting calls arent appearing in analytics at all today. I checked DD logs and there was a significant drop in processed calls around 14:30 today (4th of April)  How to reproduce? Step by step. • Make a call.  • Wait a minute or two  • Check the calls logs in DD if they appear at all  Expected behavior? • Calls should be processed within a minute give or take.  Company id: 294831 - 1,807.00 MRRCall IDs:844807715844807757 162479 - 835.00 MRR844459513Link to logs: https://app.datadoghq.eu/logs?query=service%3Acall-information-processing&agg_m=count&agg_m_source=base&agg_t=count&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=sliding&storage=hot&stream_sort=desc&viz=stream&from_ts=1743695122032&to_ts=1743781522032&live=true Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5496","2025-04-04T09:24:10.527+0200","[AN] Delay for displaying the play button for call recordings","Unassigned","Zendesk Support for Jira","Normal","Closed","Won't Do","2025-04-11T10:45:29.167+0200","Hello team! What happened?The affected customer reported that they are experiencing a delay when trying to listen to a recording; the play button takes time to load.  The customer is experiencing this across all analytics tabs.  How to reproduce? Step by step.1. Open Analytics2. Navigate to the Agent tab or Call log3. Click on the “listen recording” icon L1 senior was able to replicate this; the HAR file and screen recording are attached.  Expected behavior?I assume the button should load right away.  Company id: 184601MRR at risk: $1 016,00 / MonthlyLink to logs:Time the problem occurred: replicated around Thu, 03 Apr 2025 06:07:56 GMT ‌Replicated by CID: 115777. Debby Wu Extension: 1010 ID: 9291. The agent did not use VPN, tried clearing cache and cookies, and tried incognito window as well.   Could you look into this, please? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5494","2025-04-03T19:27:19.185+0200","User unable to download call recordings via new Dashboard","Arnaldo Tema","Zendesk Support for Jira","Normal","Triaged","Unresolved","2025-04-08T07:33:50.212+0200","Current BehaviourWhen user clicks download button on a call recording, file is not downloaded. Records were downloadable via PHAdmin > Old Dashboard by L1 support. Expected BehaviourWhen user clicks download button on a call recording, file is downloaded in browser. Steps to reproduce (as done by Support)https://www.loom.com/share/3f8b3afbad2243a79b6c4748fa937b3d?sid=5610c196-2cc0-40b2-93b7-1f2fa568cdd4 1. Log in to admin.cloudtalk.io2. Impersonate company3. Find calls in Dashboard4. Click download button5. Files are not downloaded6. Network tab doesn't show any obvious errors Debug Info• company id: 122703  • call ids: 842821091, 842797837  • approximate time of user's error: 2/4/2025 20:30-20:50 CEST  • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5493","2025-04-03T14:19:20.034+0200","[AN] Transferred Calls Dont Appear In Real Time Tab","Unassigned","Zoltan Viragh","High","Closed","Duplicate","2025-04-11T09:32:55.376+0200","Hi! What happened? • Client reported a caller of their waited in queue for a while but they could only see an average waiting time of 22s. The call they provided is an internal transfer that isnt even in analytics.  Ultimately I guess its related to this: https://cloudtalk.atlassian.net/browse/DSH-5489 since it counts as an internal call. How to reproduce? Step by step. • Make a call.  • Transfer it internally.  • Check the real time tab's active calls.  Expected behavior? • Transferred calls should be logged in analytics and should appear in the real time tab while they're ongoing.  Company id: 283305 MRR at risk:€456,00 Link to logs:Call ID: 836535547 https://app.datadoghq.eu/logs?query=836535547&agg_m=count&agg_m_source=base&agg_t=count&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=paused&storage=hot&stream_sort=desc&viz=stream&from_ts=1740783600000&to_ts=1743458399999&live=false Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5489","2025-04-02T21:37:24.379+0200","[AN] Call Count Discrepancy","Roman Hartig","Zoltan Viragh","Very high","Open","Unresolved","2025-04-09T10:00:36.023+0200","Hi! Might be related to: https://cloudtalk.atlassian.net/browse/VOIP-1789 What happened? • Client reported a serious discrepancy in call count when comparing the legacy/new dashboards call count for march with the month in analytics. They're missing nearly 2K calls.  How to reproduce? Step by step. • Unable to.  Expected behavior? • The discrepancy shouldn't exist.  Company id: 279759 MRR at risk:€2 040,00 Link to logs: • see attached file containing their missing calls.  They made 1346 internal calls in March, which are a part of the missing calls. I found the missing calls by downloading an export from both analytics and the legacy dashboard and checking which IDs appeared in just one of the files. Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5488","2025-04-02T19:47:18.491+0200","[AN] Agent Cannot Listen To Voicemail","Unassigned","Zoltan Viragh","High","Open","Unresolved","2025-04-10T10:57:16.424+0200","Hi! What happened? • Client reported an agent of their cannot listen to a specific voicemail recording via Analytics' call details.  How to reproduce? Step by step. • My VMs failed to be processed by Analytics. https://app.datadoghq.eu/logs?query=842755865&agg_m=count&agg_m_source=base&agg_t=count&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=paused&storage=hot&stream_sort=desc&viz=stream&from_ts=1742252400000&to_ts=1743615980594&live=false Bug I assume?  • Edit: After trial and error, I managed to replicate it.  • Set your role to agent  • Set recording permissions to “recordings of their own calls”  • Produce a VM to a number that has a call to agent/group step to you followed by a VM step linked to you.  • Attempt to play the recording either via analytics agent logs or the call details page. Both will fail with “recording cant be played”  Expected behavior? • The VM was logged under that agent, they should be able to listen to the recording.  Company id: 166579 MRR at risk:$3,889.50 Link to logs: • Har file attached.  • https://app.datadoghq.eu/logs?query=826312033&agg_m=count&agg_m_source=base&agg_t=count&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=paused&storage=hot&stream_sort=desc&viz=stream&from_ts=1742252400000&to_ts=1743615948398&live=false  Affected User: Malcolm BabbinExtension: 1016ID: 244531 Call ID: 826312033 Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5487","2025-04-02T16:36:19.791+0200","[Platform] Null Source ID In Audit Logs","Serhii Shevchenko","Zoltan Viragh","Very high","In Progress","Unresolved","2025-04-09T18:24:30.287+0200","Hi! Discovered this while debugging a ticket. What happened?When a user edits their settings via the new dashboard, their user ID isn't added to the audit logs as a source ID. This is crucial for determining who changed what, and support uses this on a regular basis to answer clients' questions. How to reproduce? Step by step. • Change any setting via the new dashboard.  • Check the audit logs.  Expected behavior? • User ID should be inserted as the source ID into the audit logs.  E.g. I disabled and enabled global business hours on the L2 account. Here's my query, check the most recent business hours changes. Additional data:SELECT t., ad.FROM cloudtalk.audits tLEFT JOIN audit_deltas ad on t.id = ad.audit_idWHERE entity_id = '168807' AND property_name = 'use_business_hours'ORDER BY created DESC Company ID: 168807 Environment: Prod Build version: Discussed with Peter Stanko: https://cloudtalkio.slack.com/archives/C04ULE51CG1/p1743601590843249 See attached screenshots as well. He checked the stage db and found the first occurrence of this issue. He also said you should add tracing to your requests and that he already made a PR for you. Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5477","2025-04-01T10:09:32.625+0200","NPS Collection Issue Summary","Unassigned","Caroline Da Fonseca","Very high","Icebox","Unresolved","2025-04-10T14:20:54.494+0200","What happened? • There has been a notable drop in NPS submissions over recent months: • Nov: 202  • Dec: 184  • Jan: 225  • Feb: 125  • Mar (to date): 50   • Based on 's research:  • It seems that the NPS banner is being displayed and collected from the new dashboard. However we see multiple issues here: • The NPS submission rate has been decreasing since ND was released. Less than a third of NPS submissions are coming from the new dashboard.  • Events where the NPS banner was displayed to users are not being tracked in Mixpanel (despite the NPS banner being displayed in ND—we have proof that some submissions are coming from the new dashboard. I suspect this is an issue with our implementation).  • We are unable to export logs from Appcues for NPS displays, only for submissions.   • What we don’t know: • How often the NPS banner is displayed in the new dashboard; therefore, we can’t calculate the submission rate per dashboard.  • What is causing the decrease in the number of submissions. There could be multiple reasons, but it is currently difficult to investigate since we don’t have logs showing when the NPS banner is displayed.    Slack discussion for reference:   Expected behavior? Can we look into why the events are not being tracked? Both the Appcues SDK and the Mixpanel initialization script need to be correctly installed.  Investigate Mixpanel init script and Appcues init script. Here is how Appcues and Mixpanel are integrated. ‌"
"Ticket","DSH-5476","2025-03-31T22:20:40.107+0200","[AN] Problem w Special Characters in Exports","Unassigned","Zoltan Viragh","Normal","Triaged","Unresolved","2025-04-02T10:49:54.051+0200","Hi! What happened? • Client reported special characters are not displayed properly in exports from Analytics.  Agent Teo Amorós shows as Teo AmorÃ³s Or Gema Cañizares shows as Gema CaÃ±izares  How to reproduce? Step by step. • Export a report from the client's account via impersonation.  Expected behavior? • Special characters should be displayed properly.  Company id: 279759 MRR at risk:€2 040,00 Link to logs: • See attached files.  Could you please take a look? Thank you. High prio based on MRR. AttachmentsLegacy report.xlsx Analytics report.xlsx • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5474","2025-03-31T12:27:50.929+0200","[ND] Sound File Upload Issues in CFD","Jergus Kacmar","Nicoletta Donadio","Very high","Open","Unresolved","2025-04-11T11:50:45.713+0200","What happened? Customers uploading sound files via CFD steps, Group Settings, Company/Number Business Hours, and Account > Settings > Sounds are experiencing file upload failures and UX issues. In CFD specifically, users are able to save step forms with a selected sound file, but the file doesn’t play when the caller reaches that step. In many cases, no failure warning is shown during editing, or the warning is not visible or clear enough for users to notice and resolve the issue. How to reproduce? Step by step. In several reported cases, L1 has verified that the uploaded file name appears correctly in the UI, but when calling the associated phone number, the sound file does not play. This suggests the issue may be occurring silently in the background, without proper feedback or error handling for the user. Expected behavior? Users are able to upload sound files in CFD steps, Group Settings, Company/Number Business Hours, and Account > Settings > Sounds. If an upload fails, the user is notified with the reason for the failure and is prevented from saving the form until the issue is resolved. Additional data: • 154557 - 26/02/2025 • After a few days of testing the extensions, we (Admin) have unfortunately encountered an issue with our Call Flow. I (Admin) believe this is the same bug that we have experienced before. We have a recording that is not working, the one named ""Press Extension Or 20s to Main Menu"", although it was working when we did the tests last week. When we make a call and press 1 to dial the extension, we are unable to hear the recording. But if we dial the extension, the call is redirected to the TA that we wish to talk to.  • Reported for - +1 857-214-2664, +1 857-557-6251, +1 857-239-0784, +1 647-694-5673, +1 647-946-8245, +1 647-946-8249  • File name: Press Extension Or 20s to Main Menu  • L1 confirmed file was uploaded via new Dashboard   • 289325 - 27/02/2025 • We (Admin user) have a problem with our process. Customers do not hear an answering machine message but instead directly hear the beep sound of the voicemail. Because of this, we are getting countless empty voicemail messages since customers don’t understand when they should start speaking, as our message before the beep is missing. Please check this process and let me know what we need to change: https://my.cloudtalk.io/numbers/edit/198219  • Reported for - +49 7661 90949-40 (https://my.cloudtalk.io/numbers/edit/198219)  • File names: Außerhalb Geschäftszeiten box4pflege, Außerhalb Geschäftszeiten box4pflege copy  • L1 attemped to delete Außerhalb Geschäftszeiten box4pflege copy file for user but the page just says processing. L1 then deleted & re-uploaded sounds for user via old Dashboard (PHAdmin).   ‌ • 265369 - 05/03/2025 • Admin reports numbers are using our earlier recordings saying they are Anyfin. We made new recordings, with different voice. We have the standard out of office sound under ""Business hours"" And then I striped the ""Call Flow"". we need two sounds one for welcome and one for warning. When uploading same file via Legacy, it worked in test call.  • User records audio using Mac, then converts/changes file type in Mac and then uploads.  It also strangely would change the icon of that file in Google Drive, BUT these sounds worked.  When they did all the same steps and uploaded in New Dashboard, it did not work.  • Reported for 2 numbers - +46 8 665 60 60, +46767206567  • File names: FValkommen, FBedragarell  • 1 of the calls L1 reviewed, id 822546203"
"Ticket","DSH-5471","2025-03-31T07:10:50.007+0200","[Duplicate, just a placeholder] Sound files fail to upload but CFD step form can still be saved with filename visible","daniel malachovsky","Zendesk Support for Jira","High","Open","Unresolved","2025-04-10T14:06:33.908+0200","[NOTE for the engineering team from : This is a duplicate issue meant only for tracking. See the linked bugs attached. Duplcate issues won’t happen again, this was a miss in our ticket process] Current BehaviourCustomers uploading sounds are experiencing file upload failures and UX issues. The user can save CFD step forms with the selected sound, but the file doesn't play when the caller reaches the CFD step. A failure warning is either not shown when editing CFD, or isn’t apparent and/or helpful enough for users to read and resolve the issue. Expected BehaviourUsers can upload sound files through the CFD steps, Group settings, company/number Business Hours, and Account > Settings > Sounds. If an upload fails, the user is notified of the failure reason and can't save the form with the un-uploaded file. If a file is invalid or failed, user also can’t save it on a CFD step & has a helpful error message. Steps to reproduceFile upload failures are not reproducible by L2 or L1. Multiple examples of L1 verifying file names appear in the UI, but when they call the reported phone numbers, the file doesn’t play. Debug Notes• Env: Prod, new Dashboard only  • Reported companies (11 companies) • 248069, 173165, 234543, 145713, 296061, 199347, 296247, 154557, 289325, 265369, 299729   • Logs for reported company IDs  • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5466","2025-03-28T14:20:45.987+0100","[Dashboard] Dashboard Wont Load","Nicoletta Donadio","Zoltan Viragh","Very high","Closed","Cannot Reproduce","2025-04-09T12:52:00.936+0200","Hi! What happened? • Client reported that dashboard wont load. After an extended period of time it just throws up an error.  How to reproduce? Step by step. • Impersonate the client and wait.  Expected behavior? • Dashboard should load.  Company id: 187791 MRR at risk:$1 257,62 Link to logs:Attached har file Could you please take a look? Thank you! AttachmentsCaptura de pantalla 2025-03-27 164531.jpg error har.har • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5463","2025-03-28T12:25:17.044+0100","[ND] Tooltip Missing in User List for Viewing Assigned Groups","Unassigned","Nicoletta Donadio","Normal","Icebox","Unresolved","2025-04-10T09:47:43.465+0200","What happened? In the User list of the New Dashboard, when a user belongs to multiple groups, only the first group is visible — the others aren’t displayed. How to reproduce? Step by step. Go to User list page Check the record of an user that has more than one group assigned The tooltip on top of the +1 group doesn’t appear Expected behavior? A tooltip should show up listing all the groups the user is assigned to (see Group list for the same tooltip) Additional data: All companies are affected Environment: Production Build version: ‌"
"Ticket","DSH-5456","2025-03-27T19:56:13.310+0100","AI Data Delay and Automation Failures","Unassigned","Zoltan Viragh","High","Triaged","Unresolved","2025-04-11T11:15:37.492+0200","Problem Description:The current automation setup relies on sequential API requests for AI-generated call data (Transcript → Sentiment → TLR), each with retry logic. Despite the implementation of retries (up to 17 mins for Transcript, 15 mins for Sentiment, and 15 mins for TLR), calls are still failing due to delays in data availability — sometimes exceeding 30 minutes. Root Concern: • Automation fails when not all AI data is available in time, particularly when Transcript is ready but Sentiment or TLR is not  • This results in incomplete AI data shown in Analytics, impacting usability and customer trust  Reported Impact: • Increased error occurrences in the last 45 minutes: • Call IDs: 837425209, 837413101, 837399467, 837363559   • Customer Company ID: 272539  • MRR at Risk: €2,527.00  Request:Please investigate the delay and inconsistency in API responses (especially for Sentiment and TLR) and help ensure full AI data availability within expected timeframes to avoid automation failures. From Support:  Hi! I was told to escalate this cause it has already been discussed with Arnaldo Tema Issue: 'Previous Message already shared with Arnaldo: Part 1 - Call Ends - Wait 2 mins - API Request for Transcript - If error try again in 5 mins, if error try again in 5 mins, if error try again in 5 mins = 17 minsPart 2 - If API request for Transcript successful then API Request for Sentiment - If error, try again in 5 mins, if error try again in 5 mins, if error try again in 5 mins = 15 minsPart 3 - If API request for Sentiment successful then API Request for TLR - If error, try again in 5 mins, if error try again in 5 mins, if error try again in 5 mins = 15 mins Although I don't have specific examples right now, I have seen calls in Analytics where the AI data is not available and 30 mins or more has passed. What I'm getting at is my current setup should currently catch what the engineer has said is the maximum (although we were previously told 6 mins at absolute max), but the maximum we're experiencing is at least 17 mins or more, hence the automation completing unsuccessfully. It's worth mentioning that sometimes the transcript API request will successfully complete, but then the API request for sentiment or TLR will not, which means that not all of the AI data is available at the same time. In these cases as well, the automation will not compete as we don't have all the data we need for the call.' Increased Errors past 45 minutes:837425209837413101837399467837363559 Company id:272539 MRR at risk:€2 527,00 Link to logs:N/A Could you please take a look? Thank you. • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5455","2025-03-27T18:54:43.499+0100","[Dashboard] Missing Custom Dispositions in filter menu","Unassigned","Zoltan Viragh","Normal","Open","Unresolved","2025-04-11T21:55:46.110+0200","Hi! What happened? • Client reported their custom dispositions/survey answers arent appearing in the new dashboard.  How to reproduce? Step by step. • Create a campaign  • Add custom dispositions  • Go to survey answers  • Click on filter: “Filter by result“   • Custom dispositions do not appear in the dropdown menu  Expected behavior? • Custom Dispositions should be present in the dropdown list.  Company id who reported it: 292897 MRR at risk:€73,00 / MonthlyIt is affecting all companies Link to logs:N/A Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
